City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.67,few clouds,-23.12,-134.97,Pension Maro'i
1,Puerto Ayora,EC,82.4,clear sky,-0.74,-90.35,Finch Bay Galapagos Hotel
10,Toma,BF,79.32,clear sky,12.77,-2.88,Auberge de l'amitié
12,Porto Velho,BR,77.0,thunderstorm,-8.76,-63.9,Hotel Vila Rica Porto Velho
13,Hilo,US,80.6,light rain,19.73,-155.09,Hilo Hawaiian Hotel
18,Faanui,PF,80.42,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
19,Yulara,AU,78.8,broken clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
21,Banjar,ID,78.8,broken clouds,-8.19,114.97,The Hamsa Resort
24,Coahuayana,MX,80.6,clear sky,18.73,-103.68,Hotel Los Arcos
25,Saint-Philippe,RE,77.0,light rain,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
27,Georgetown,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
28,Bathsheba,BB,77.0,few clouds,13.22,-59.52,Atlantis Hotel
31,Mackay,AU,80.6,scattered clouds,-21.15,149.2,International Lodge Motel
33,Kapaa,US,80.6,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
38,Hithadhoo,MV,82.29,scattered clouds,-0.6,73.08,Scoop Guest House
39,Sri Aman,MY,75.2,overcast clouds,1.24,111.46,Seri Simanggang Hotel
41,Sao Caetano De Odivelas,BR,77.49,overcast clouds,-0.75,-48.02,Hotel do Luttis
51,Vila Velha,BR,78.8,broken clouds,-20.33,-40.29,Hotel Vitória Palace
55,Byron Bay,AU,78.01,light rain,-28.65,153.62,Backpackers Inn on the Beach
57,San Cristobal,VE,80.6,scattered clouds,7.77,-72.22,Pirineos
69,Cayenne,GF,78.8,broken clouds,4.93,-52.33,Hôtel Le Dronmi
84,Pak Phanang,TH,77.0,broken clouds,8.35,100.2,Green Park Inn Hotel
87,Saint-Georges,GD,80.6,few clouds,12.06,-61.75,Siesta Hotel
88,Atuona,PF,77.77,light rain,-9.8,-139.03,Villa Enata
97,Puerto Leguizamo,CO,75.34,overcast clouds,-0.19,-74.78,la casona de juancho
100,Caravelas,BR,75.67,broken clouds,-17.71,-39.25,Pousada dos Navegantes
102,San Juan,AR,80.53,scattered clouds,-31.54,-68.54,Hotel Provincial
105,Acapulco,MX,84.2,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
109,Campo Verde,BR,80.6,few clouds,-20.42,-54.07,Aryaduta Hotel
116,Manado,ID,77.0,scattered clouds,1.49,124.85,Aryaduta Hotel
118,Itarema,BR,80.28,clear sky,-2.92,-39.92,Windvillage
123,Kanigoro,ID,75.0,overcast clouds,-8.13,112.22,Musafer Villa ( Villa Erlin )
125,Saint-Pierre,RE,77.0,clear sky,-21.34,55.48,Lindsey Hôtel
126,Sambava,MG,77.61,moderate rain,-14.27,50.17,Melrose
129,Port Macquarie,AU,75.2,overcast clouds,-31.43,152.92,Rydges Port Macquarie
130,Santiago,CL,82.0,few clouds,-33.46,-70.65,Hotel Panamericano
132,Thinadhoo,MV,82.38,scattered clouds,0.53,72.93,VS Villa
133,Cordoba,AR,87.01,clear sky,-31.41,-64.18,Sheraton Cordoba Hotel
134,Kalmunai,LK,78.4,moderate rain,7.42,81.82,VS Villa
142,Rio Tuba,PH,80.6,very heavy rain,8.51,117.43,Triple J Lodging House
143,Todos Santos,MX,75.0,scattered clouds,23.45,-110.22,Hotel California Todos Santos
145,Kavieng,PG,84.58,overcast clouds,-2.57,150.8,Nusa Island Retreat
148,Torit,SS,76.59,broken clouds,4.41,32.57,Diplomat Guest House
151,Bambanglipuro,ID,77.56,light rain,-7.95,110.28,Puri Brata
152,Cairns,AU,84.99,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
154,Hambantota,LK,77.04,broken clouds,6.12,81.12,Bungalow 63
155,Oistins,BB,77.0,few clouds,13.07,-59.53,Butterfly Beach Hotel
157,Port Hedland,AU,86.0,broken clouds,-20.32,118.57,The Esplanade Hotel
169,Avarua,CK,84.2,scattered clouds,-21.21,-159.78,Paradise Inn
171,Souillac,MU,77.0,light rain,-20.52,57.52,Bils' Villa
186,Carnarvon,AU,75.2,clear sky,-24.87,113.63,Hospitality Carnarvon
187,Hervey Bay,AU,82.0,clear sky,-25.3,152.85,Shelly Bay Resort
189,Samarai,PG,84.58,overcast clouds,-10.62,150.67,Nuli Sapi
191,Butaritari,KI,81.37,light rain,3.07,172.79,Isles Sunset Lodge
193,Mumford,GH,80.42,clear sky,5.26,-0.76,Spanish Villa
195,Voh,NC,82.69,overcast clouds,-20.97,164.7,Le gîte du Koniambo
196,San Miguelito,PA,86.0,few clouds,9.03,-79.5,Sheraton Grand Panama
198,Bandrele,YT,82.4,clear sky,-12.91,45.19,Les Baobabs
201,Poya,NC,82.8,overcast clouds,-21.35,165.15,Sand Diamond Hotel
202,Mahebourg,MU,77.0,light rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
203,Kollam,IN,78.8,mist,8.88,76.6,The Raviz Ashtamudi
205,Colon,PA,81.0,clear sky,9.36,-79.9,Sand Diamond Hotel
208,Madimba,TZ,77.0,few clouds,-10.4,40.33,Gran Hotel Mar del Plata
214,Payao,PH,78.48,moderate rain,10.18,122.95,Manolita
216,Kahului,US,80.6,light rain,20.89,-156.47,Maui Seaside Hotel
217,Villalba,PR,77.0,few clouds,18.13,-66.49,El Chichón
221,Mar Del Plata,AR,80.6,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata
223,Ibotirama,BR,79.52,overcast clouds,-12.19,-43.22,Serra do Rio Hotel
227,Pouebo,NC,81.63,overcast clouds,-20.4,164.57,Hôtel & Restaurant DIANA Ambilobe
231,Labuhan,ID,78.58,overcast clouds,-6.88,112.21,bador sepret
234,Loiza,PR,75.2,broken clouds,18.43,-65.88,Malibu Beachfront
237,Gorom-Gorom,BF,76.19,clear sky,14.44,-0.24,Mairie de Rambo
240,Bengkulu,ID,75.02,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
242,Kieta,PG,84.38,broken clouds,-6.22,155.63,Keleti Beach Resort
244,Ambilobe,MG,75.02,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
245,Port Blair,IN,78.3,overcast clouds,11.67,92.75,Welcomhotel Bay Island Port Blair
246,Saint-Leu,RE,77.0,clear sky,-21.15,55.28,La Caz Oceane
247,Sao Filipe,CV,75.43,scattered clouds,14.9,-24.5,Tortuga B&B
252,Cockburn Town,TC,77.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
253,Vaini,TO,80.6,light rain,-21.2,-175.2,Keleti Beach Resort
266,Merauke,ID,82.94,broken clouds,-8.47,140.33,Halane Hotel and Restaurent
267,Soyo,AO,78.42,overcast clouds,-6.13,12.37,Hotel Mpampa
271,Tambopata,PE,79.97,light rain,-12.73,-69.18,Sapriadi Appy
274,High Rock,BS,77.0,broken clouds,26.62,-78.28,Hideaway Bahamas Beach Club
275,Sosua,DO,77.0,few clouds,19.77,-70.52,Piergiorgio Palace Hotel
278,Salta,AR,78.8,shower rain,-24.79,-65.41,Hotel Alejandro I
279,San Andres,CO,80.6,light rain,12.58,-81.7,Hotel Arena Blanca
284,Goundi,TD,75.38,broken clouds,9.36,17.37,"""Plantation Bed and Breakfast"
285,Bowen,AU,82.4,broken clouds,-20.02,148.23,Castle Motor Lodge Motel
290,Hobyo,SO,76.24,few clouds,5.35,48.53,Halane Hotel and Restaurent
297,Ankazoabo,MG,76.73,clear sky,-22.28,44.52,ENCEIN BUREAU CISCO
300,Galesong,ID,75.2,light rain,-5.32,119.37,Sapriadi Appy
303,Rawson,AR,82.8,clear sky,-43.3,-65.1,Hotel Punta León
305,Namatanai,PG,84.43,overcast clouds,-3.67,152.43,Namatanai Hotel
309,Isangel,VU,80.6,light intensity shower rain,-19.55,169.27,Volcano Sea View Tree House
315,Sechura,PE,78.57,few clouds,-5.56,-80.82,Hospedaje Costa Bella
316,Saint-Joseph,RE,77.0,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
319,Murwillumbah,AU,81.0,light rain,-28.32,153.4,Murwillumbah Motor Inn
321,Coolum Beach,AU,82.99,few clouds,-26.53,153.1,Palmer Coolum Resort
322,Sensenti,HN,82.4,few clouds,14.48,-88.93,tajaditas de platano verde
329,Banda Aceh,ID,77.52,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
334,Kyabe,TD,76.48,overcast clouds,9.45,18.94,Posada Villa Nela
336,Bairiki,KI,84.2,scattered clouds,1.33,172.98,Tarawa Boutique Hotel
338,Neiafu,TO,84.2,light intensity drizzle,-18.65,-173.98,Mystic Sands
343,Tautira,PF,82.4,thunderstorm with light rain,-17.73,-149.15,Pension Oaoa
360,Kudahuvadhoo,MV,81.21,moderate rain,2.67,72.89,Kudahuvadhoo Retreat
362,Bambous Virieux,MU,77.0,light rain,-20.34,57.76,Casa Tia Villa
363,Nortelandia,BR,82.02,light rain,-14.45,-56.8,Hotel Karysmã
368,Anloga,GH,84.2,scattered clouds,5.79,0.9,Pin Drop Hotel
370,Songkhla,TH,75.2,broken clouds,6.83,100.67,น.ส ซัลมา สาแม็ง
374,Salaga,GH,84.63,clear sky,8.55,-0.52,Bore Nada Guest House
381,Upata,VE,75.0,few clouds,8.01,-62.4,Posada Villa Nela
387,Labrea,BR,75.9,heavy intensity rain,-7.26,-64.8,Hotel Novo Horizonte
391,Jacareacanga,BR,77.54,light rain,-6.22,-57.75,Casa do Ian😎
392,Sola,VU,82.8,heavy intensity rain,-13.88,167.55,Ulkel Guest House
395,Mandera,KE,81.34,scattered clouds,3.94,41.87,Kornesh Hotel and Lodging
396,Nelson Bay,AU,77.0,broken clouds,-32.72,152.15,Mantra Nelson Bay
397,Bima,ID,79.27,overcast clouds,-8.47,118.72,Lambitu Hotel
398,Gorontalo,ID,77.52,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
400,Pemba,MZ,80.6,broken clouds,-12.97,40.52,Guesthouse Samotina
401,Panama City,PA,86.0,few clouds,8.99,-79.52,Trump International Hotel & Tower Panama
402,Axim,GH,79.3,clear sky,4.87,-2.24,AXIM BEACH RESORT AND SPA
404,Paraiso,CR,77.0,scattered clouds,9.84,-83.87,Rinconcito Verde
405,Concordia,AR,87.8,clear sky,-31.39,-58.02,Palmar Hotel Casino
