City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.12,-134.97,78.67,66,24,7.99,few clouds
1,Puerto Ayora,EC,-0.74,-90.35,82.4,61,0,8.05,clear sky
2,Ketchikan,US,55.34,-131.65,42.8,93,90,19.46,moderate rain
3,Ushuaia,AR,-54.8,-68.3,55.4,69,40,21.92,light rain
4,Jumla,NP,29.27,82.18,37.27,55,8,3.69,clear sky
5,Cape Town,ZA,-33.93,18.42,69.8,60,0,21.92,clear sky
6,Koson,UZ,39.04,65.58,21.2,92,90,0.87,mist
7,Dikson,RU,73.51,80.55,12.36,96,100,13.38,overcast clouds
8,Yellowknife,CA,62.46,-114.35,-22.0,67,75,11.41,broken clouds
9,Thompson,CA,55.74,-97.86,10.4,92,90,10.29,snow
10,Toma,BF,12.77,-2.88,79.32,18,0,6.64,clear sky
11,Barrow,US,71.29,-156.79,-4.0,76,90,13.87,overcast clouds
12,Porto Velho,BR,-8.76,-63.9,77.0,94,40,2.24,thunderstorm
13,Hilo,US,19.73,-155.09,80.6,61,20,6.93,light rain
14,Castro,BR,-24.79,-50.01,62.85,93,2,7.02,clear sky
15,Goderich,CA,43.75,-81.72,33.8,74,3,3.36,clear sky
16,Jamestown,US,42.1,-79.24,32.0,100,90,3.36,overcast clouds
17,Punta Arenas,CL,-53.15,-70.92,59.0,44,40,24.16,scattered clouds
18,Faanui,PF,-16.48,-151.75,80.42,76,6,17.0,clear sky
19,Yulara,AU,-25.24,130.99,78.8,39,64,19.46,broken clouds
20,Busselton,AU,-33.65,115.33,63.0,66,82,10.0,broken clouds
21,Banjar,ID,-8.19,114.97,78.8,94,75,3.36,broken clouds
22,Loralai,PK,30.37,68.6,38.82,51,0,6.06,clear sky
23,Bethel,US,41.37,-73.41,42.8,60,1,4.7,clear sky
24,Coahuayana,MX,18.73,-103.68,80.6,32,5,9.17,clear sky
25,Saint-Philippe,RE,-21.36,55.77,77.0,69,0,17.22,light rain
26,Praia Da Vitoria,PT,38.73,-27.07,59.0,93,75,31.43,heavy intensity rain
27,Georgetown,MY,5.41,100.34,78.8,83,40,4.07,scattered clouds
28,Bathsheba,BB,13.22,-59.52,77.0,61,20,18.34,few clouds
29,Nikolskoye,RU,59.7,30.79,32.0,95,75,11.18,broken clouds
30,Kodiak,US,57.79,-152.41,33.8,80,90,20.8,light rain
31,Mackay,AU,-21.15,149.2,80.6,78,40,9.17,scattered clouds
32,Port Elizabeth,ZA,-33.92,25.57,68.0,88,0,12.75,clear sky
33,Kapaa,US,22.08,-159.32,80.6,61,1,18.34,clear sky
34,Tommot,RU,58.96,126.29,-19.32,83,100,7.34,overcast clouds
35,Tuktoyaktuk,CA,69.45,-133.04,-4.0,83,75,13.87,broken clouds
36,Barcelona,ES,41.39,2.16,46.99,70,20,4.7,few clouds
37,New Norfolk,AU,-42.78,147.06,68.0,57,99,1.01,overcast clouds
38,Hithadhoo,MV,-0.6,73.08,82.29,76,41,10.36,scattered clouds
39,Sri Aman,MY,1.24,111.46,75.2,94,100,2.24,overcast clouds
40,Chubbuck,US,42.92,-112.47,39.2,55,40,14.99,scattered clouds
41,Sao Caetano De Odivelas,BR,-0.75,-48.02,77.49,86,94,5.86,overcast clouds
42,Mataura,NZ,-46.19,168.86,53.01,97,100,5.99,overcast clouds
